map,killer,escapes,escape,perk1,perk2,perk3,perk4,item,addon1,addon2,offering,pips,swf
Wreckers Yard,Legion,3,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Commodious Toolbox (R),Brand New Part (L),Socket Swivels (U),Annotated Blueprint (C),1,Y
Dead Dawg Saloon,Shape,1,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Commodious Toolbox (R),Brand New Part (L),Socket Swivels (U),Annotated Blueprint (C),?,Y
Rancid Abattoir,Cenobite,1,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Commodious Toolbox (R),Brand New Part (L),Socket Swivels (U),Escape! Cake (U),0,N
Mother's Dwelling,Nurse,1,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Emergency Med-Kit (R),Gel Dressings (R),Gauze Roll (U),Escape! Cake (U),1,N
Azarov's Resting Place,Clown,1,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Emergency Med-Kit (R),Gel Dressings (R),Gauze Roll (U),Escape! Cake (U),1,N
Lampkin Lane,Huntress,0,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Emergency Med-Kit (R),Gel Dressings (R),Self-Adherent Wrap (U),Escape! Cake (U),0,N
Family Residence,Deathslinger,3,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Emergency Med-Kit (R),Gel Dressings (R),Self-Adherent Wrap (U),Fragrant Bog Laurel (R),1,N
Fractured Cowshed,Shape,2,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Emergency Med-Kit (R),Gel Dressings (R),Self-Adherent Wrap (U),Fragrant Bog Laurel (R),0,N
Dead Dawg Saloon,Plague,4,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Emergency Med-Kit (R),Gel Dressings (R),Self-Adherent Wrap (U),Fragrant Bog Laurel (R),1,N
Disturbed Ward,Dredge,4,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Emergency Med-Kit (R),Bandages (C),Self-Adherent Wrap (U),Sealed Envelope (U),1,N
Fractured Cowshed,Nemesis,3,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Emergency Med-Kit (R),Bandages (C),Self-Adherent Wrap (U),Sealed Envelope (U),1,N
The Game,Ghostface,1,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Emergency Med-Kit (R),Bandages (C),Self-Adherent Wrap (U),Sealed Envelope (U),1,N
Suffocation Pit,Nemesis,2,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Emergency Med-Kit (R),Bandages (C),Self-Adherent Wrap (U),Sealed Envelope (U),0,N
The Thompson House,Trickster,1,N,Open-Handed (V),Bond (V),Kindred (V),Hyperfocus (V),Ranger's Med-Kit (V),Gel Dressings (R),Gauze Roll (U),Escape! Cake (U),1,Y
Mother's Dwelling,Pig,0,N,Windows of Opportunity (V),Distortion (V),Resilience (V),Dead Hard (V),Ranger's Med-Kit (V),Gel Dressings (R),Bandages (C),Escape! Cake (U),1,N
Disturbed Ward,Plague,0,N,Windows of Opportunity (V),Kindred (V),Adrenaline (V),Deliverance (V),Commodious Toolbox (R),Brand New Part (L),Clean Rag (C),Escape! Cake (U),0,N
Lampkin Lane,Blight,4,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Emergency Med-Kit (R),Gel Dressings (R),Bandages (C),Escape! Cake (U),0,N
Garden of Joy,Huntress,4,Y,Open-Handed (V),Bond (V),Kindred (V),Any Means Necessary (V),Emergency Med-Kit (R),Gel Dressings (R),Bandages (C),Escape! Cake (U),1,N
Midwich Elementary School,Spirit,1,N,Open-Handed (V),Bond (V),Kindred (V),Boon: Circle of Healing (V),Emergency Med-Kit (R),Gel Dressings (R),Bandages (C),Escape! Cake (U),1,N
Lampkin Lane,Executioner,0,N,Open-Handed (V),Bond (V),Kindred (V),Reassurance (V),Emergency Med-Kit (R),Gel Dressings (R),Bandages (C),Escape! Cake (U),1,N
Lampkin Lane,Nightmare,0,N,Object of Obsession (V),Off The Record (V),Resilience (V),Overcome (V),First Aid Kit (U),Bandages (C),Styptic Agent (V),Escape! Cake (U),1,N
Mother's Dwelling,Clown,1,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Emergency Med-Kit (R),Gel Dressings (R),Bandages (C),Sealed Envelope (U),1,N
Lampkin Lane,Hag,4,Y,Sole Survivor (V),Resilience (V),Dead Hard (V),Deliverance (V),Emergency Med-Kit (R),Gel Dressings (R),Bandages (C),Annotated Blueprint (C),1,N
Mount Ormond Resort,Mastermind,4,Y,Sole Survivor (V),Resilience (V),Dead Hard (V),Deliverance (V),Emergency Med-Kit (R),Self-Adherent Wrap (U),Bandages (C),Annotated Blueprint (C),1,N
Sanctum of Wrath,Trickster,0,N,Sole Survivor (V),Resilience (V),Dead Hard (V),Deliverance (V),Ranger's Med-Kit (V),Gel Dressings (R),Gauze Roll (U),Annotated Blueprint (C),-1,N
Dead Dawg Saloon,Deathslinger,0,N,Sole Survivor (V),Resilience (V),Dead Hard (V),Deliverance (V),Emergency Med-Kit (R),Gel Dressings (R),Bandages (C),Annotated Blueprint (C),0,N
Raccoon City Police Station West Wing,Ghostface,3,Y,Sole Survivor (V),Resilience (V),Dead Hard (V),Deliverance (V),Emergency Med-Kit (R),Gel Dressings (R),Bandages (C),Annotated Blueprint (C),1,N
Fractured Cowshed,Huntress,4,Y,Sole Survivor (V),Resilience (V),Dead Hard (V),Deliverance (V),Emergency Med-Kit (R),Gel Dressings (R),Bandages (C),Annotated Blueprint (C),1,N
Wreckers Yard,Wraith,3,Y,Sole Survivor (V),Resilience (V),Dead Hard (V),Deliverance (V),Emergency Med-Kit (R),Gel Dressings (R),Bandages (C),Annotated Blueprint (C),1,Y
Gas Heaven,Spirit,2,N,Sole Survivor (V),Resilience (V),Dead Hard (V),Deliverance (V),Emergency Med-Kit (R),Gel Dressings (R),Bandages (C),Annotated Blueprint (C),1,Y
Raccoon City Police Station West Wing,Pig,2,Y,Sole Survivor (V),Resilience (V),Dead Hard (V),Deliverance (V),Emergency Med-Kit (R),Gel Dressings (R),Bandages (C),Annotated Blueprint (C),2,Y
Raccoon City Police Station East Wing,Nurse,2,N,Sole Survivor (V),Resilience (V),Dead Hard (V),Deliverance (V),Emergency Med-Kit (R),Gel Dressings (R),Bandages (C),Annotated Blueprint (C),0,Y
Lampkin Lane,Deathslinger,4,Y,Sole Survivor (V),Resilience (V),Dead Hard (V),Deliverance (V),Emergency Med-Kit (R),Gel Dressings (R),Bandages (C),Bloody Party Streamers (R),0,Y
Badham Preschool IV,Spirit,3,Y,Adrenaline (V),Resilience (V),Dead Hard (V),Deliverance (V),Emergency Med-Kit (R),Gel Dressings (R),Bandages (C),Bloody Party Streamers (R),1,Y
Eyrie of Crows,Mastermind,4,Y,Adrenaline (V),Resilience (V),Dead Hard (V),Deliverance (V),Emergency Med-Kit (R),Gel Dressings (R),Bandages (C),Bloody Party Streamers (R),2,Y
Badham Preschool IV,Ghostface,3,Y,Adrenaline (V),Resilience (V),Dead Hard (V),Deliverance (V),Emergency Med-Kit (R),Self-Adherent Wrap (U),Bandages (C),Bloody Party Streamers (R),1,Y
Torment Creek,Wraith,0,N,Adrenaline (V),Resilience (V),Dead Hard (V),Deliverance (V),Emergency Med-Kit (R),Self-Adherent Wrap (U),Bandages (C),,1,Y
Sanctum of Wrath,Mastermind,0,N,Adrenaline (V),Resilience (V),Dead Hard (V),Deliverance (V),,,,,1,Y
Badham Preschool IV,Blight,0,N,Sole Survivor (V),Resilience (V),Dead Hard (V),Deliverance (V),First Aid Kit (U),Self-Adherent Wrap (U),Bandages (C),Escape! Cake (U),1,N
Rotten Fields,Mastermind,0,N,Sole Survivor (V),Resilience (V),Dead Hard (V),Deliverance (V),First Aid Kit (U),Self-Adherent Wrap (U),Bandages (C),Escape! Cake (U),-1,N
Midwich Elementary School,Huntress,4,Y,Sole Survivor (V),Resilience (V),Dead Hard (V),Deliverance (V),First Aid Kit (U),Self-Adherent Wrap (U),Bandages (C),Sealed Envelope (U),1,N
Badham Preschool II,Hillbilly,3,Y,Sole Survivor (V),Resilience (V),Dead Hard (V),Deliverance (V),First Aid Kit (U),Self-Adherent Wrap (U),Bandages (C),Sealed Envelope (U),0,N
Wreckers Yard,Onryo,1,Y,Sole Survivor (V),Resilience (V),Dead Hard (V),Deliverance (V),First Aid Kit (U),Self-Adherent Wrap (U),Bandages (C),Sealed Envelope (U),1,N
Raccoon City Police Station East Wing,Plague,1,N,Sole Survivor (V),Resilience (V),Dead Hard (V),Deliverance (V),First Aid Kit (U),Self-Adherent Wrap (U),Bandages (C),Sealed Envelope (U),-1,N
Mount Ormond Resort,Mastermind,1,N,Sole Survivor (V),Resilience (V),Dead Hard (V),Deliverance (V),First Aid Kit (U),Self-Adherent Wrap (U),Bandages (C),Sealed Envelope (U),-1,N
Family Residence,Spirit,3,N,Sole Survivor (V),Resilience (V),Dead Hard (V),Deliverance (V),First Aid Kit (U),Self-Adherent Wrap (U),Bandages (C),Sealed Envelope (U),0,N
Mount Ormond Resort,Plague,0,N,Sole Survivor (V),Resilience (V),Dead Hard (V),Deliverance (V),First Aid Kit (U),Self-Adherent Wrap (U),Bandages (C),Sealed Envelope (U),0,N
Treatment Theatre,Trapper,3,Y,Sole Survivor (V),Resilience (V),Dead Hard (V),Deliverance (V),First Aid Kit (U),Self-Adherent Wrap (U),Bandages (C),Sealed Envelope (U),1,N
Torment Creek,Ghostface,2,Y,Sole Survivor (V),Resilience (V),Dead Hard (V),Deliverance (V),First Aid Kit (U),Self-Adherent Wrap (U),Bandages (C),Sealed Envelope (U),1,N
Eyrie of Crows,Nemesis,0,N,Sole Survivor (V),Resilience (V),Dead Hard (V),Deliverance (V),First Aid Kit (U),Self-Adherent Wrap (U),Bandages (C),Sealed Envelope (U),-1,N
Raccoon City Police Station East Wing,Spirit,0,N,Sole Survivor (V),Resilience (V),Dead Hard (V),Deliverance (V),First Aid Kit (U),Self-Adherent Wrap (U),Bandages (C),Sealed Envelope (U),0,N
Family Residence,Shape,0,N,Sole Survivor (V),Resilience (V),Dead Hard (V),Deliverance (V),First Aid Kit (U),Self-Adherent Wrap (U),Bandages (C),Sealed Envelope (U),0,N
The Game,Cenobite,2,N,Adrenaline (V),Resilience (V),Dead Hard (V),Deliverance (V),First Aid Kit (U),Self-Adherent Wrap (U),Bandages (C),Sealed Envelope (U),1,Y
Eyrie of Crows,Blight,0,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),First Aid Kit (U),Gel Dressings (R),Gauze Roll (U),Annotated Blueprint (C),0,Y
Lampkin Lane,Pig,0,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),First Aid Kit (U),Gel Dressings (R),Self-Adherent Wrap (U),Escape! Cake (U),0,Y
Midwich Elementary School,Deathslinger,0,DC,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),First Aid Kit (U),Gel Dressings (R),Self-Adherent Wrap (U),Annotated Blueprint (C),-1,Y
Badham Preschool IV,Cannibal,0,N,Object of Obsession (V),Off The Record (V),Resilience (V),Dead Hard (V),First Aid Kit (U),Bandages (C),Self-Adherent Wrap (U),Vigo's Jar of Salty Lips (V),-1,Y
Gas Heaven,Nemesis,0,N,Object of Obsession (V),Off The Record (V),Resilience (V),Dead Hard (V),First Aid Kit (U),Bandages (C),Self-Adherent Wrap (U),Fragrant Sweet William (R),0,N
Raccoon City Police Station East Wing,Onryo,3,Y,Object of Obsession (V),Off The Record (V),Windows of Opportunity (V),Dead Hard (V),First Aid Kit (U),Bandages (C),Self-Adherent Wrap (U),Fragrant Sweet William (R),2,N
The Game,Wraith,3,Y,Object of Obsession (V),Off The Record (V),Windows of Opportunity (V),Dead Hard (V),First Aid Kit (U),Bandages (C),Self-Adherent Wrap (U),Fragrant Sweet William (R),0,N
Garden of Joy,Spirit,0,N,Object of Obsession (V),Off The Record (V),Windows of Opportunity (V),Dead Hard (V),First Aid Kit (U),Bandages (C),Self-Adherent Wrap (U),Fragrant Sweet William (R),1,N
Raccoon City Police Station West Wing,Twins,0,N,Object of Obsession (V),Off The Record (V),Windows of Opportunity (V),Dead Hard (V),First Aid Kit (U),Bandages (C),Self-Adherent Wrap (U),Fragrant Sweet William (R),1,N
Lampkin Lane,Oni,2,N,Adrenaline (V),Resilience (V),Dead Hard (V),Deliverance (V),First Aid Kit (U),Self-Adherent Wrap (U),Bandages (C),Bloody Party Streamers (R),1,Y
Badham Preschool IV,Mastermind,1,N,Adrenaline (V),Resilience (V),Dead Hard (V),Deliverance (V),First Aid Kit (U),Self-Adherent Wrap (U),Bandages (C),Escape! Cake (U),1,Y
Midwich Elementary School,Knight,0,N,Open-Handed (V),Bond (V),Kindred (V),Potential Energy (U),First Aid Kit (U),Gel Dressings (R),Self-Adherent Wrap (U),Escape! Cake (U),-1,Y
Family Residence,Knight,1,N,Open-Handed (V),Bond (V),Kindred (V),Potential Energy (U),First Aid Kit (U),Gel Dressings (R),Self-Adherent Wrap (U),Escape! Cake (U),0,Y
Badham Preschool IV,Twins,4,Y,Fogwise (V),Kindred (V),Dead Hard (V),Windows of Opportunity (V),First Aid Kit (U),Self-Adherent Wrap (U),Gauze Roll (U),Escape! Cake (U),1,Y
Groaning Storehouse,Knight,0,N,Fogwise (V),Kindred (V),Dead Hard (V),Windows of Opportunity (V),First Aid Kit (U),Self-Adherent Wrap (U),Gauze Roll (U),Escape! Cake (U),1,Y
Fractured Cowshed,Knight,4,Y,Fogwise (V),Kindred (V),Dead Hard (V),Windows of Opportunity (V),First Aid Kit (U),Self-Adherent Wrap (U),Gauze Roll (U),Sealed Envelope (U),1,Y
The Game,Knight,2,N,Potential Energy (V),Kindred (V),Dead Hard (V),Windows of Opportunity (V),First Aid Kit (U),Self-Adherent Wrap (U),Gauze Roll (U),Sealed Envelope (U),1,Y
Suffocation Pit,Knight,0,N,Potential Energy (V),Kindred (V),Dead Hard (V),Windows of Opportunity (V),First Aid Kit (U),Self-Adherent Wrap (U),Gauze Roll (U),Sealed Envelope (U),1,Y
The Shattered Square,Doctor,0,N,Potential Energy (V),Kindred (V),Dead Hard (V),Windows of Opportunity (V),Emergency Med-Kit (R),Gel Dressings (R),Gauze Roll (U),Sealed Envelope (U),1,N
Shelter Woods,Dredge,0,N,Potential Energy (V),Kindred (V),Dead Hard (V),Windows of Opportunity (V),Emergency Med-Kit (R),Gel Dressings (R),Gauze Roll (U),Sealed Envelope (U),,Y
The Shattered Square,Knight,4,Y,Object of Obsession (V),Off The Record (V),Windows of Opportunity (V),Dead Hard (V),First Aid Kit (U),Bandages (C),Self-Adherent Wrap (U),Fragrant Sweet William (R),1,N
Eyrie of Crows,Nemesis,4,Y,Object of Obsession (V),Off The Record (V),Windows of Opportunity (V),Dead Hard (V),First Aid Kit (U),Bandages (C),Self-Adherent Wrap (U),Fragrant Sweet William (R),1,Y
Eyrie of Crows,Hillbilly,0,N,Object of Obsession (V),Off The Record (V),Windows of Opportunity (V),Dead Hard (V),First Aid Kit (U),Bandages (C),Self-Adherent Wrap (U),Fragrant Sweet William (R),1,Y
Family Residence,Blight,0,N,Object of Obsession (V),Off The Record (V),Windows of Opportunity (V),Dead Hard (V),First Aid Kit (U),Gel Dressings (R),Bandages (C),Fragrant Sweet William (R),0,N
The Shattered Square,Deathslinger,4,Y,Object of Obsession (V),Off The Record (V),Windows of Opportunity (V),Dead Hard (V),First Aid Kit (U),Gel Dressings (R),Surgical Suture (R),Fragrant Sweet William (R),1,N
Midwich Elementary School,Knight,0,N,Object of Obsession (V),Off The Record (V),Windows of Opportunity (V),Dead Hard (V),First Aid Kit (U),Gel Dressings (R),Surgical Suture (R),Fragrant Sweet William (R),0,N
Lampkin Lane,Knight,0,N,Object of Obsession (V),Off The Record (V),Windows of Opportunity (V),Dead Hard (V),First Aid Kit (U),Gel Dressings (R),Surgical Suture (R),Fragrant Sweet William (R),0,Y
The Pale Rose,Knight,4,Y,Object of Obsession (V),Off The Record (V),Windows of Opportunity (V),Dead Hard (V),First Aid Kit (U),Gel Dressings (R),Surgical Suture (R),Fragrant Sweet William (R),1,Y
Groaning Storehouse,Nemesis,1,N,Object of Obsession (V),Off The Record (V),Windows of Opportunity (V),Dead Hard (V),Emergency Med-Kit (R),Gel Dressings (R),Surgical Suture (R),Shiny Coin (V),-1,Y
Midwich Elementary School,Wraith,0,N,Quick Gambit (V),Kindred (V),Dead Hard (V),Windows of Opportunity (V),First Aid Kit (U),Gel Dressings (R),,Sealed Envelope (U),1,Y
Rotten Fields,Executioner,4,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),First Aid Kit (U),Gel Dressings (R),,Bloody Party Streamers (R),1,Y
Raccoon City Police Station East Wing,Mastermind,0,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),First Aid Kit (U),Gel Dressings (R),Bandages (C),RPD Badge (R),1,Y
Garden of Joy,Hag,1,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),First Aid Kit (U),Gel Dressings (R),Bandages (C),Sacrificial Ward (R),2,Y
Badham Preschool V,Onryo,2,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),First Aid Kit (U),Gel Dressings (R),Bandages (C),Sealed Envelope (U),1,Y
The Game,Huntress,3,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),First Aid Kit (U),Gel Dressings (R),Bandages (C),Sealed Envelope (U),2,Y
Mount Ormond Resort,Onryo,1,N,Resilience (V),Kindred (V),Dead Hard (V),Windows of Opportunity (V),Emergency Med-Kit (R),Bandages (C),Surgical Suture (R),Sealed Envelope (U),0,N
The Pale Rose,Oni,0,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),First Aid Kit (U),Bandages (C),Surgical Suture (R),Sealed Envelope (U),0,N
The Temple of Purgation,Artist,1,Y,Resilience (V),Kindred (V),Dead Hard (V),Windows of Opportunity (V),Ranger's Med-Kit (V),Bandages (C),Surgical Suture (R),Sealed Envelope (U),1,N
Disturbed Ward,Demogorgon,0,N,Resilience (V),Kindred (V),Dead Hard (V),Windows of Opportunity (V),Ranger's Med-Kit (V),Gauze Roll (U),Surgical Suture (R),Fragrant Sweet William (R),1,N
Fractured Cowshed,Knight,0,N,Resilience (V),Kindred (V),Dead Hard (V),Windows of Opportunity (V),Ranger's Med-Kit (V),Gauze Roll (U),Surgical Suture (R),Fragrant Sweet William (R),-1,N
Grim Pantry,Plague,1,Y,Object of Obsession (V),Off The Record (V),Windows of Opportunity (V),Dead Hard (V),Emergency Med-Kit (R),Gel Dressings (R),Surgical Suture (R),Shiny Coin (V),0,N
Treatment Theatre,Mastermind,4,Y,Resilience (V),Kindred (V),Dead Hard (V),Windows of Opportunity (V),Emergency Med-Kit (R),Gel Dressings (R),Bandages (C),Fragrant Sweet William (R),1,N
The Shattered Square,Nightmare,4,Y,Resilience (V),Kindred (V),Dead Hard (V),Windows of Opportunity (V),Emergency Med-Kit (R),Gel Dressings (R),Bandages (C),Beef Tallow Mixture (R),2,Y
Lampkin Lane,Mastermind,3,N,Resilience (V),Kindred (V),Dead Hard (V),Windows of Opportunity (V),Emergency Med-Kit (R),Surgical Suture (R),Bandages (C),Bloody Party Streamers (R),1,Y
Wretched Shop,Oni,0,N,Resilience (V),Kindred (V),Dead Hard (V),Windows of Opportunity (V),Emergency Med-Kit (R),Surgical Suture (R),Bandages (C),Escape! Cake (U),0,N
The Shattered Square,Huntress,3,Y,Resilience (V),Kindred (V),Dead Hard (V),Windows of Opportunity (V),Emergency Med-Kit (R),Surgical Suture (R),Bandages (C),Escape! Cake (U),1,N
Raccoon City Police Station East Wing,Nurse,4,Y,Resilience (V),Kindred (V),Dead Hard (V),Windows of Opportunity (V),Emergency Med-Kit (R),Surgical Suture (R),Bandages (C),Escape! Cake (U),0,N
Midwich Elementary School,Nurse,1,N,Resilience (V),Kindred (V),Dead Hard (V),Windows of Opportunity (V),Emergency Med-Kit (R),Surgical Suture (R),Bandages (C),Escape! Cake (U),-1,N
Badham Preschool V,Ghostface,3,N,Object of Obsession (V),Off The Record (V),Windows of Opportunity (V),Dead Hard (V),Emergency Med-Kit (R),Bandages (C),Surgical Suture (R),Shiny Coin (V),1,N
Disturbed Ward,Doctor,0,N,Resilience (V),Kindred (V),Dead Hard (V),Windows of Opportunity (V),First Aid Kit (U),Bandages (C),Surgical Suture (R),Fragrant Crispleaf Amaranth (R),-1,N
Lampkin Lane,Ghostface,3,Y,Resilience (V),Kindred (V),Dead Hard (V),Windows of Opportunity (V),First Aid Kit (U),Bandages (C),Surgical Suture (R),Fragrant Crispleaf Amaranth (R),2,N
The Game,Trapper,3,Y,Object of Obsession (V),Off The Record (V),Windows of Opportunity (V),Dead Hard (V),Emergency Med-Kit (R),Gel Dressings (R),Gauze Roll (U),Petrified Oak (V),2,Y
Raccoon City Police Station East Wing,Blight,4,Y,Object of Obsession (V),Off The Record (V),Windows of Opportunity (V),Dead Hard (V),Emergency Med-Kit (R),Gel Dressings (R),Bandages (C),RPD Badge (R),1,Y
The Game,Huntress,0,N,Object of Obsession (V),Off The Record (V),Windows of Opportunity (V),Dead Hard (V),Emergency Med-Kit (R),Gel Dressings (R),Bandages (C),Bloody Party Streamers (R),0,Y
The Shattered Square,Knight,2,Y,Resilience (V),Kindred (V),Dead Hard (V),Windows of Opportunity (V),Emergency Med-Kit (R),Gel Dressings (R),Self-Adherent Wrap (U),Fragrant Crispleaf Amaranth (R),1,Y
The Game,Pig,0,N,Resilience (V),Kindred (V),Dead Hard (V),Windows of Opportunity (V),Emergency Med-Kit (R),Gel Dressings (R),Self-Adherent Wrap (U),Escape! Cake (U),1,Y
Groaning Storehouse,Wraith,1,Y,Resilience (V),Kindred (V),Dead Hard (V),Windows of Opportunity (V),Ranger's Med-Kit (V),Gel Dressings (R),Bandages (C),Escape! Cake (U),1,Y
Father Campbell's Chapel,Nemesis,0,N,Resilience (V),Kindred (V),Dead Hard (V),Windows of Opportunity (V),Ranger's Med-Kit (V),Gel Dressings (R),Bandages (C),Escape! Cake (U),-1,N
Raccoon City Police Station East Wing,Dredge,4,Y,Object of Obsession (V),Off The Record (V),Windows of Opportunity (V),Dead Hard (V),Emergency Med-Kit (R),Gel Dressings (R),Bandages (C),RPD Badge (R),0,N
Raccoon City Police Station West Wing,Shape,0,N,Object of Obsession (V),Off The Record (V),Windows of Opportunity (V),Dead Hard (V),Emergency Med-Kit (R),Gel Dressings (R),Bandages (C),RPD Badge (R),-1,N
Raccoon City Police Station East Wing,Blight,2,Y,Object of Obsession (V),Off The Record (V),Windows of Opportunity (V),Dead Hard (V),Utility Flashlight (V),Long Life Battery (R),Heavy Duty Battery (U),RPD Badge (R),1,N
Raccoon City Police Station East Wing,Nurse,0,N,Object of Obsession (V),Off The Record (V),Windows of Opportunity (V),Dead Hard (V),First Aid Kit (U),Gel Dressings (R),Bandages (C),RPD Badge (R),-1,N
Raccoon City Police Station East Wing,Huntress,,DC,Resilience (V),Kindred (V),Dead Hard (V),Windows of Opportunity (V),First Aid Kit (U),Gel Dressings (R),Gauze Roll (U),RPD Badge (R),-1,N
Raccoon City Police Station West Wing,Pig,3,Y,Object of Obsession (V),Off The Record (V),Windows of Opportunity (V),Dead Hard (V),First Aid Kit (U),Gel Dressings (R),Bandages (C),RPD Badge (R),1,Y
Father Campbell's Chapel,Huntress,0,N,Object of Obsession (V),Off The Record (V),Windows of Opportunity (V),Dead Hard (V),First Aid Kit (U),Gel Dressings (R),Bandages (C),Sacrificial Ward (R),-1,Y
Raccoon City Police Station East Wing,Trapper,2,Y,Resilience (V),Kindred (V),Dead Hard (V),Windows of Opportunity (V),Emergency Med-Kit (R),Gel Dressings (R),Bandages (C),RPD Badge (R),1,N
Raccoon City Police Station West Wing,Knight,1,N,Resilience (V),Kindred (V),Dead Hard (V),Windows of Opportunity (V),Emergency Med-Kit (R),Surgical Suture (R),Bandages (C),RPD Badge (R),0,N
Midwich Elementary School,Twins,1,Y,Any Means Necessary (V),Kindred (V),Dead Hard (V),Windows of Opportunity (V),Emergency Med-Kit (R),Surgical Suture (R),Bandages (C),Escape! Cake (U),0,N
Treatment Theatre,Knight,0,N,Any Means Necessary (V),Kindred (V),Dead Hard (V),Windows of Opportunity (V),Emergency Med-Kit (R),Surgical Suture (R),Bandages (C),Escape! Cake (U),1,N
Mount Ormond Resort,Knight,0,N,Any Means Necessary (V),Kindred (V),Dead Hard (V),Windows of Opportunity (V),Emergency Med-Kit (R),Surgical Suture (R),Bandages (C),Escape! Cake (U),2,N
The Game,Deathslinger,0,N,Repressed Alliance (V),Kindred (V),Dead Hard (V),Windows of Opportunity (V),Emergency Med-Kit (R),Surgical Suture (R),Bandages (C),Escape! Cake (U),-1,N
Garden of Joy,Ghostface,4,Y,Potential Energy (V),Kindred (V),Dead Hard (V),Windows of Opportunity (V),Emergency Med-Kit (R),Surgical Suture (R),Bandages (C),Ichorous Loam (R),2,N
Raccoon City Police Station West Wing,Nemesis,4,Y,Object of Obsession (V),Off The Record (V),Windows of Opportunity (V),Dead Hard (V),Emergency Med-Kit (R),Gel Dressings (R),Gauze Roll (U),Petrified Oak (V),1,Y
Eyrie of Crows,Cannibal,0,N,Resilience (V),Kindred (V),Dead Hard (V),Windows of Opportunity (V),Emergency Med-Kit (R),Gel Dressings (R),Gauze Roll (U),Ichorous Loam (R),-1,Y
Raccoon City Police Station West Wing,Blight,0,N,Flashbang (V),Kindred (V),Dead Hard (V),Windows of Opportunity (V),Commodious Toolbox (R),Brand New Part (L),Wire Spool (U),RPD Badge (R),-1,N
Raccoon City Police Station East Wing,Knight,1,N,Resilience (V),Kindred (V),Dead Hard (V),Windows of Opportunity (V),First Aid Kit (U),Gel Dressings (R),Self-Adherent Wrap (U),RPD Badge (R),0,N
Raccoon City Police Station East Wing,Artist,0,N,Resilience (V),Kindred (V),Dead Hard (V),Windows of Opportunity (V),First Aid Kit (U),Gel Dressings (R),Self-Adherent Wrap (U),RPD Badge (R),1,N
Suffocation Pit,Spirit,1,Y,Resilience (V),Kindred (V),Dead Hard (V),Windows of Opportunity (V),First Aid Kit (U),Gel Dressings (R),Self-Adherent Wrap (U),Petrified Oak (V),-1,Y
Shelter Woods,Blight,0,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Commodious Toolbox (R),Brand New Part (L),Wire Spool (U),Escape! Cake (U),1,Y
Fractured Cowshed,Artist,4,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Commodious Toolbox (R),Brand New Part (L),Wire Spool (U),Escape! Cake (U),1,Y
Garden of Joy,Onryo,3,Y,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Commodious Toolbox (R),Brand New Part (L),Wire Spool (U),Annotated Blueprint (C),1,Y
The Game,Mastermind,0,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Commodious Toolbox (R),Brand New Part (L),Wire Spool (U),Annotated Blueprint (C),1,Y
Treatment Theatre,Hag,3,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Commodious Toolbox (R),Brand New Part (L),Wire Spool (U),Annotated Blueprint (C),0,Y
Coal Tower,Hillbilly,1,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Commodious Toolbox (R),Brand New Part (L),Wire Spool (U),RPD Badge (R),0,Y
Raccoon City Police Station East Wing,Doctor,0,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Commodious Toolbox (R),Brand New Part (L),Wire Spool (U),RPD Badge (R),0,Y
Fractured Cowshed,Cenobite,3,N,Open-Handed (V),Bond (V),Kindred (V),Dead Hard (V),Broken Key (R),Prayer Beads (U),Blood Amber (V),Petrified Oak (V),0,Y
